Age_band_of_driver,Driving_experience,Road_surface_conditions,Light_conditions,Weather_conditions,Number_of_vehicles_involved,Number_of_casualties,Casualty_severity,Accident_severity,Sex_of_driver_Female,Sex_of_driver_Male,Sex_of_driver_Unknown,Type_of_vehicle_Commercial Vehicle,Type_of_vehicle_Non-Motorized,Type_of_vehicle_Other,Type_of_vehicle_Private Vehicle,Type_of_vehicle_Public Transport,Type_of_vehicle_Special Vehicle,Owner_of_vehicle_Governmental,Owner_of_vehicle_Organization,Owner_of_vehicle_Other,Owner_of_vehicle_Owner,Vehicle_driver_relation_Employee,Vehicle_driver_relation_Other,Vehicle_driver_relation_Owner,Vehicle_driver_relation_Unknown,Road_surface_type_Asphalt roads,Road_surface_type_Asphalt roads with some distress,Road_surface_type_Earth roads,Road_surface_type_Gravel roads,Road_surface_type_Other,Type_of_collision_kfold,Types_of_Junction_kfold,Lanes_or_Medians_kfold,Day_kfold,Cause_of_accident_kfold,Hour_kfold,Area_accident_occured_kfold,Road_allignment_kfold,Vehicle_movement_kfold
0,1,0,2,2,2,1,3,2,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1.8419277785583814,1.8094457199081666,1.828981723237598,1.8319672131147542,1.8149171270718232,1.8330708661417323,1.8370597243491578,1.851063829787234,1.8362339514978603
1,2,0,2,2,2,1,2,2,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1.8376140350877193,1.8118682751874797,1.8288787483702738,1.840082361015786,1.8570508692852543,1.8502495840266222,1.8429602888086642,1.8340420505551618,1.834099396725079
0,2,0,0,2,2,1,2,2,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1.8419277785583814,1.881257275902212,1.828981723237598,1.8684014869888477,1.8358003442340791,1.8309492847854356,1.8432727272727272,1.8338762214983713,1.8244897959183672
1,2,0,0,2,2,1,3,2,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1.8224811514736121,1.877668782458165,1.8608058608058609,1.860759493670886,1.8567656765676568,1.8287581699346405,1.8321592649310874,1.8436578171091444,1.835801765878667
1,2,0,2,2,1,4,2,2,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1.8338945005611673,1.8078947368421052,1.8239600665557405,1.8228454172366622,1.7888675623800383,1.8354166666666667,1.83594604447685,1.8478802992518704,1.8293031907282873
1,3,0,2,2,1,4,2,2,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1.8419277785583814,1.8094457199081666,1.8352402745995424,1.8333333333333333,1.8178603006189213,1.8244111349036403,1.8067278287461774,1.8341589997640952,1.8362339514978603
1,4,0,2,2,1,4,3,2,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1.8338945005611673,1.8078947368421052,1.8292555960437271,1.8228454172366622,1.8479948253557568,1.8354166666666667,1.8315854410857495,1.828703156401466,1.8293031907282873
1,2,0,2,2,1,4,2,2,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1.8376140350877193,1.8118682751874797,1.8526946107784432,1.832087015635622,1.8570508692852543,1.8229376257545271,1.8429602888086642,1.8340420505551618,1.834099396725079
2,0,0,2,2,1,1,2,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1.8375400920373728,1.8109339407744875,1.8247764160317985,1.8377412437455325,1.832582322357019,1.8241279069767442,1.8348457350272231,1.8152866242038217,1.8065934065934066
2,2,0,2,2,1,1,3,2,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1.8338945005611673,1.8078947368421052,1.8188073394495412,1.8393220338983052,1.8282097649186257,1.8160919540229885,1.83594604447685,1.828703156401466,1.8293031907282873
